날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-07-21,Apple Inc.,AAPL,Technology - Consumer Electronics,211.18,32.89408,25.412754,1.969
2025-07-21,Microsoft Corporation,MSFT,Technology - Software - Infrastructure,510.05,39.35571,34.117058,2.3859
2025-07-21,Alphabet Inc.,GOOGL,Communication Services - Internet Content & Information,185.06,20.654018,20.654018,1.3841
2025-07-21,"Tesla, Inc.",TSLA,Consumer Cyclical - Auto Manufacturers,329.65,188.37143,101.74383,5.7652
2025-07-21,NVIDIA Corporation,NVDA,Technology - Semiconductors,172.41,55.61613,41.847088,1.6716
