날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-07-21,Apple Inc.,AAPL,Technology - Consumer Electronics,211.18,32.89408,25.412754,1.969
2025-07-21,"Airbnb, Inc.",ABNB,Consumer Cyclical - Travel Services,139.34,35.365482,30.964443,1.988
2025-07-21,Adobe Inc.,ADBE,Technology - Software - Application,365.79,23.418055,17.800001,1.1846
2025-07-21,"Analog Devices, Inc.",ADI,Technology - Semiconductors,241.85,65.72011,32.0756,1.4147
2025-07-21,"Automatic Data Processing, Inc.",ADP,Technology - Software - Application,301.79,30.857876,27.76357,3.1912
2025-07-21,"Autodesk, Inc.",ADSK,Technology - Software - Application,297.03,63.740345,32.35621,1.752
2025-07-21,"Applied Materials, Inc.",AMAT,Technology - Semiconductor Equipment & Materials,190.44,23.139734,19.653252,1.894
2025-07-21,"Advanced Micro Devices, Inc.",AMD,Technology - Semiconductors,156.99,114.59125,30.782354,0.7838
2025-07-21,Amgen Inc.,AMGN,Healthcare - Drug Manufacturers - General,294.76,26.869644,14.260281,0.9808
2025-07-21,"Amazon.com, Inc.",AMZN,Consumer Cyclical - Internet Retail,226.13,36.769108,36.769108,2.9398
2025-07-21,"ANSYS, Inc.",ANSS,Technology - Software - Application,374.3,55.534126,33.996365,2.4662
2025-07-21,ASML Holding N.V.,ASML,Technology - Semiconductor Equipment & Materials,734.58,26.244373,27.51236,1.503
2025-07-21,Broadcom Inc.,AVGO,Technology - Semiconductors,283.34,103.03272,45.922203,1.3289
2025-07-21,"Baidu, Inc.",BIDU,Communication Services - Internet Content & Information,87.81,8.676877,7.917944,0.1919663053097345
2025-07-21,Biogen Inc.,BIIB,Healthcare - Drug Manufacturers - General,124.99,12.35079,7.502401,
2025-07-21,Booking Holdings Inc.,BKNG,Consumer Cyclical - Travel Services,5702.9,35.58752,27.176077,1.6409
2025-07-21,"Cadence Design Systems, Inc.",CDNS,Technology - Software - Application,315.57,80.09391,46.068615,3.3606
2025-07-21,"Charter Communications, Inc.",CHTR,Communication Services - Telecom Services,382.08,10.660714,10.678592,0.4056
2025-07-21,Comcast Corporation,CMCSA,Communication Services - Telecom Services,34.54,8.507389,7.8858447,1.614
2025-07-21,"Coinbase Global, Inc.",COIN,Financial Services - Financial Data & Stock Exchanges,419.78,78.75797,117.585434,124.8936
2025-07-21,Costco Wholesale Corporation,COST,Consumer Defensive - Discount Stores,950.95,54.061966,48.32063,5.052
2025-07-21,"Copart, Inc.",CPRT,Industrials - Specialty Business Services,45.98,30.45033,26.425287,2.2747
2025-07-21,"Salesforce, Inc.",CRM,Technology - Software - Application,262.38,40.996876,23.574123,1.4017
2025-07-21,"CrowdStrike Holdings, Inc.",CRWD,Technology - Software - Infrastructure,475.96,,111.46604,5.424
2025-07-21,"Cisco Systems, Inc.",CSCO,Technology - Communication Equipment,68.05,27.77551,17.448719,2.2644
2025-07-21,Cintas Corporation,CTAS,Industrials - Specialty Business Services,221.94,50.55581,47.42308,3.926
2025-07-21,"Datadog, Inc.",DDOG,Technology - Software - Application,145.02,315.26086,71.43842,2.7446
2025-07-21,"Dollar Tree, Inc.",DLTR,Consumer Defensive - Discount Stores,110.12,21.719921,18.171618,1.3005940718562874
2025-07-21,"DocuSign, Inc.",DOCU,Technology - Software - Application,79.37,15.089354,21.509485,0.1341275911111111
2025-07-21,Electronic Arts Inc.,EA,Communication Services - Electronic Gaming & Multimedia,150.11,35.32,17.59789,1.3868
2025-07-21,eBay Inc.,EBAY,Consumer Cyclical - Internet Retail,78.14,18.783655,14.969349,1.9797
2025-07-21,Exelon Corporation,EXC,Utilities - Utilities - Regulated Electric,43.4,16.13383,16.501902,2.0969
2025-07-21,"Expeditors International of Washington, Inc.",EXPD,Industrials - Integrated Freight & Logistics,111.67,18.549833,20.756504,4.0312
2025-07-21,Fastenal Company,FAST,Industrials - Industrial Distribution,46.06,44.288464,21.031963,4.1189
