날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-08-01,Apple Inc.,AAPL,Technology - Consumer Electronics,207.57,32.382217,24.978338,1.9492
2025-08-01,"Airbnb, Inc.",ABNB,Consumer Cyclical - Travel Services,132.41,33.52152,29.424446,1.8891
2025-08-01,Adobe Inc.,ADBE,Technology - Software - Application,357.69,22.928846,17.40584,1.1584
2025-08-01,"Analog Devices, Inc.",ADI,Technology - Semiconductors,224.63,61.04076,29.791779,1.314
2025-08-01,"Automatic Data Processing, Inc.",ADP,Technology - Software - Application,309.5,31.043129,28.472862,3.294
2025-08-01,"Autodesk, Inc.",ADSK,Technology - Software - Application,303.11,64.90578,33.018517,1.8175
2025-08-01,"Applied Materials, Inc.",AMAT,Technology - Semiconductor Equipment & Materials,180.06,21.878494,18.582045,1.8836
2025-08-01,"Advanced Micro Devices, Inc.",AMD,Technology - Semiconductors,176.31,127.76087,34.570587,0.8451
2025-08-01,Amgen Inc.,AMGN,Healthcare - Drug Manufacturers - General,295.1,26.87614,14.27673,0.9796
2025-08-01,"Amazon.com, Inc.",AMZN,Consumer Cyclical - Internet Retail,234.11,38.190865,38.066666,2.8094
2025-08-01,"ANSYS, Inc.",ANSS,Technology - Software - Application,374.3,55.534126,29.581144,2.4662
2025-08-01,ASML Holding N.V.,ASML,Technology - Semiconductor Equipment & Materials,694.71,24.99856,26.019102,1.4218
2025-08-01,Broadcom Inc.,AVGO,Technology - Semiconductors,293.7,107.58242,47.6013,1.4193
2025-08-01,"Baidu, Inc.",BIDU,Communication Services - Internet Content & Information,87.87,8.682807,7.9233546,0.1920975
2025-08-01,Biogen Inc.,BIIB,Healthcare - Drug Manufacturers - General,128.0,12.260537,7.6830735,
2025-08-01,Booking Holdings Inc.,BKNG,Consumer Cyclical - Travel Services,5504.06,38.3131,26.228544,1.5788
2025-08-01,"Cadence Design Systems, Inc.",CDNS,Technology - Software - Application,364.57,99.06793,53.2219,3.8212
2025-08-01,"Charter Communications, Inc.",CHTR,Communication Services - Telecom Services,269.36,7.3736653,7.528228,0.6372
2025-08-01,Comcast Corporation,CMCSA,Communication Services - Telecom Services,33.23,5.5107794,7.5867577,1.5187
2025-08-01,"Coinbase Global, Inc.",COIN,Financial Services - Financial Data & Stock Exchanges,377.76,70.8743,105.81513,14.6494
2025-08-01,Costco Wholesale Corporation,COST,Consumer Defensive - Discount Stores,939.64,53.177135,47.745934,4.9275
2025-08-01,"Copart, Inc.",CPRT,Industrials - Specialty Business Services,45.33,30.019869,26.051725,2.2896
2025-08-01,"Salesforce, Inc.",CRM,Technology - Software - Application,258.33,40.490593,23.210241,1.4147
2025-08-01,"CrowdStrike Holdings, Inc.",CRWD,Technology - Software - Infrastructure,454.57,,106.45668,5.1803
2025-08-01,"Cisco Systems, Inc.",CSCO,Technology - Communication Equipment,68.08,27.787756,17.45641,2.2625
2025-08-01,Cintas Corporation,CTAS,Industrials - Specialty Business Services,222.55,50.464855,47.55342,4.1724
2025-08-01,"Datadog, Inc.",DDOG,Technology - Software - Application,139.98,291.625,68.955666,2.6492
2025-08-01,"Dollar Tree, Inc.",DLTR,Consumer Defensive - Discount Stores,113.55,22.440712,18.737625,1.3437552095808385
2025-08-01,"DocuSign, Inc.",DOCU,Technology - Software - Application,75.64,14.380227,20.498644,0.12782424
2025-08-01,Electronic Arts Inc.,EA,Communication Services - Electronic Gaming & Multimedia,152.49,38.1225,17.876905,1.4436
2025-08-01,eBay Inc.,EBAY,Consumer Cyclical - Internet Retail,91.75,20.38889,17.57663,1.9453
2025-08-01,Exelon Corporation,EXC,Utilities - Utilities - Regulated Electric,44.94,17.087452,17.087452,2.1376
2025-08-01,"Expeditors International of Washington, Inc.",EXPD,Industrials - Integrated Freight & Logistics,116.24,19.30897,21.605947,4.0204
2025-08-01,Fastenal Company,FAST,Industrials - Industrial Distribution,46.13,44.78641,21.063927,4.1502
2025-08-01,Fox Corporation,FOX,Communication Services - Entertainment,51.14,12.658416,21.761703,5.5982
2025-08-01,Fox Corporation,FOXA,Communication Services - Entertainment,55.76,13.80198,14.949061,6.104
