날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-07-22,Apple Inc.,AAPL,Technology - Consumer Electronics,212.48,33.096573,25.569193,1.969
2025-07-22,"Airbnb, Inc.",ABNB,Consumer Cyclical - Travel Services,138.07,35.043148,30.682224,1.988
2025-07-22,Adobe Inc.,ADBE,Technology - Software - Application,367.68,23.539053,17.891972,1.1846
2025-07-22,"Analog Devices, Inc.",ADI,Technology - Semiconductors,240.48,65.347824,31.893898,1.4147
2025-07-22,"Automatic Data Processing, Inc.",ADP,Technology - Software - Application,300.9,30.76687,27.681692,3.1912
2025-07-22,"Autodesk, Inc.",ADSK,Technology - Software - Application,295.16,63.339058,32.152504,1.752
2025-07-22,"Applied Materials, Inc.",AMAT,Technology - Semiconductor Equipment & Materials,192.61,23.403404,19.877193,1.894
2025-07-22,"Advanced Micro Devices, Inc.",AMD,Technology - Semiconductors,157.0,114.59854,30.784315,0.7838
2025-07-22,Amgen Inc.,AMGN,Healthcare - Drug Manufacturers - General,295.87,26.970829,14.313981,0.9808
2025-07-22,"Amazon.com, Inc.",AMZN,Consumer Cyclical - Internet Retail,229.3,37.284554,37.284554,2.9398
2025-07-22,"ANSYS, Inc.",ANSS,Technology - Software - Application,374.3,55.534126,33.996365,2.4662
2025-07-22,ASML Holding N.V.,ASML,Technology - Semiconductor Equipment & Materials,719.68,25.71204,26.954306,1.503
2025-07-22,Broadcom Inc.,AVGO,Technology - Semiconductors,288.21,104.803635,46.711506,1.3289
2025-07-22,"Baidu, Inc.",BIDU,Communication Services - Internet Content & Information,88.81,8.775692,8.008115,0.19415247787610618
2025-07-22,Biogen Inc.,BIIB,Healthcare - Drug Manufacturers - General,122.68,12.12253,7.3637457,
2025-07-22,Booking Holdings Inc.,BKNG,Consumer Cyclical - Travel Services,5677.15,35.426834,27.05337,1.6409
2025-07-22,"Cadence Design Systems, Inc.",CDNS,Technology - Software - Application,316.32,80.28426,46.178104,3.3606
2025-07-22,"Charter Communications, Inc.",CHTR,Communication Services - Telecom Services,388.89,10.850726,10.868922,0.4056
2025-07-22,Comcast Corporation,CMCSA,Communication Services - Telecom Services,35.01,8.623153,7.99315,1.614
2025-07-22,"Coinbase Global, Inc.",COIN,Financial Services - Financial Data & Stock Exchanges,413.63,77.604126,115.86275,124.8936
2025-07-22,Costco Wholesale Corporation,COST,Consumer Defensive - Discount Stores,947.56,53.869244,48.148373,5.052
2025-07-22,"Copart, Inc.",CPRT,Industrials - Specialty Business Services,46.03,30.483442,26.454021,2.2747
2025-07-22,"Salesforce, Inc.",CRM,Technology - Software - Application,262.28,40.98125,23.56514,1.4017
2025-07-22,"CrowdStrike Holdings, Inc.",CRWD,Technology - Software - Infrastructure,481.58,,112.782196,5.424
2025-07-22,"Cisco Systems, Inc.",CSCO,Technology - Communication Equipment,68.34,27.893875,17.523075,2.2644
2025-07-22,Cintas Corporation,CTAS,Industrials - Specialty Business Services,221.32,50.41458,47.2906,3.926
2025-07-22,"Datadog, Inc.",DDOG,Technology - Software - Application,145.27,315.80435,71.56158,2.7446
2025-07-22,"Dollar Tree, Inc.",DLTR,Consumer Defensive - Discount Stores,112.31,22.151873,18.533003,1.3264594610778442
2025-07-22,"DocuSign, Inc.",DOCU,Technology - Software - Application,79.34,15.083649,21.501354,0.13407687999999998
2025-07-22,Electronic Arts Inc.,EA,Communication Services - Electronic Gaming & Multimedia,153.39,36.091766,17.982416,1.3868
2025-07-22,eBay Inc.,EBAY,Consumer Cyclical - Internet Retail,79.03,18.997597,15.139847,1.9797
