날짜,종목명,티커,산업군,현재가격,Trailing P/E,Forward P/E,PEG Ratio
2025-07-22,Exelon Corporation,EXC,Utilities - Utilities - Regulated Electric,43.73,16.256506,16.627375,2.0969
2025-07-22,"Expeditors International of Washington, Inc.",EXPD,Industrials - Integrated Freight & Logistics,112.54,18.694353,20.918215,4.0312
2025-07-22,Fastenal Company,FAST,Industrials - Industrial Distribution,46.02,44.250004,21.013699,4.1189
2025-07-22,Fox Corporation,FOX,Communication Services - Entertainment,51.07,12.641089,21.731916,5.6574
2025-07-22,Fox Corporation,FOXA,Communication Services - Entertainment,55.47,13.730199,14.871314,6.1576
2025-07-22,"Fortinet, Inc.",FTNT,Technology - Software - Infrastructure,106.94,43.82787,44.373444,2.9435
2025-07-22,"Gilead Sciences, Inc.",GILD,Healthcare - Drug Manufacturers - General,108.28,22.747898,14.573352,0.2251
2025-07-22,Alphabet Inc.,GOOG,Communication Services - Internet Content & Information,191.15,21.333704,21.357542,1.3907
2025-07-22,Alphabet Inc.,GOOGL,Communication Services - Internet Content & Information,190.1,21.216518,21.216518,1.3841
2025-07-22,Honeywell International Inc.,HON,Industrials - Conglomerates,235.22,27.036783,21.364214,2.3497
2025-07-22,"Robinhood Markets, Inc.",HOOD,Financial Services - Capital Markets,104.34,59.965515,142.9315,0.5641158513640641
2025-07-22,"IDEXX Laboratories, Inc.",IDXX,Healthcare - Diagnostics & Research,520.87,48.184086,43.551003,4.2494
2025-07-22,"Illumina, Inc.",ILMN,Healthcare - Diagnostics & Research,94.795,,21.446833,
2025-07-22,Intel Corporation,INTC,Technology - Semiconductors,23.26,,23.979382,
2025-07-22,Intuit Inc.,INTU,Technology - Software - Application,763.69,62.24042,34.354027,1.9539
2025-07-22,"Intuitive Surgical, Inc.",ISRG,Healthcare - Medical Instruments & Supplies,516.12,75.345985,65.66412,3.6627
2025-07-22,"JD.com, Inc.",JD,Consumer Cyclical - Internet Retail,33.4,8.126521,8.067634,0.13963094501718215
2025-07-22,Keurig Dr Pepper Inc.,KDP,Consumer Defensive - Beverages - Non-Alcoholic,33.32,30.290909,16.253658,1.0301
2025-07-22,KLA Corporation,KLAC,Technology - Semiconductor Equipment & Materials,937.76,34.137608,28.572823,1.7493
2025-07-22,"Lucid Group, Inc.",LCID,Consumer Cyclical - Auto Manufacturers,2.82,,-3.2045455,
2025-07-22,Logitech International S.A.,LOGI,Technology - Computer Hardware,95.1,23.026634,20.277185,2.1303
2025-07-22,Lam Research Corporation,LRCX,Technology - Semiconductor Equipment & Materials,101.74,28.339832,23.826698,1.4936
2025-07-22,lululemon athletica inc.,LULU,Consumer Cyclical - Apparel Retail,223.21,15.174031,14.950436,0.9777
2025-07-22,Microchip Technology Incorporated,MCHP,Technology - Semiconductors,73.85,,28.403847,
2025-07-22,"Mondelez International, Inc.",MDLZ,Consumer Defensive - Confectioners,69.42,25.80669,20.239067,5.6842
2025-07-22,"MercadoLibre, Inc.",MELI,Consumer Cyclical - Internet Retail,2379.06,58.669792,49.174454,1.5639
2025-07-22,"Meta Platforms, Inc.",META,Communication Services - Internet Content & Information,712.965,27.882872,28.180437,2.3267
2025-07-22,Monster Beverage Corporation,MNST,Consumer Defensive - Beverages - Non-Alcoholic,59.43,39.098686,31.780748,1.9238
2025-07-22,"Monolithic Power Systems, Inc.",MPWR,Technology - Semiconductors,724.77,19.332355,42.186844,0.40614191176470593
2025-07-22,"Moderna, Inc.",MRNA,Healthcare - Biotechnology,30.97,,-3.55977,
2025-07-22,"Marvell Technology, Inc.",MRVL,Technology - Semiconductors,73.06,,29.223999,
2025-07-22,Microsoft Corporation,MSFT,Technology - Software - Infrastructure,510.06,39.35648,34.117725,2.3859
2025-07-22,"Netflix, Inc.",NFLX,Communication Services - Entertainment,1233.27,52.569057,51.86165,2.2808
2025-07-22,"ServiceNow, Inc.",NOW,Technology - Software - Application,959.91,131.13524,57.479637,2.1428
2025-07-22,"NetEase, Inc.",NTES,Communication Services - Electronic Gaming & Multimedia,137.35,19.62143,18.26463,2.26
2025-07-22,NVIDIA Corporation,NVDA,Technology - Semiconductors,171.38,55.283875,41.597088,1.6716
2025-07-22,NXP Semiconductors N.V.,NXPI,Technology - Semiconductors,228.27,24.89313,17.465189,1.5155
2025-07-22,"Old Dominion Freight Line, Inc.",ODFL,Industrials - Trucking,163.25,30.62852,27.66949,3.0649
2025-07-22,"Okta, Inc.",OKTA,Technology - Software - Infrastructure,95.86,147.47693,33.055172,0.5046
2025-07-22,Oracle Corporation,ORCL,Technology - Software - Infrastructure,243.54,56.115204,34.013966,2.5608
2025-07-22,"Palo Alto Networks, Inc.",PANW,Technology - Software - Infrastructure,199.88,114.873566,27.761112,2.4359
2025-07-22,"Paychex, Inc.",PAYX,Technology - Software - Application,142.66,31.148474,26.967865,2.5428
2025-07-22,PDD Holdings Inc.,PDD,Consumer Cyclical - Internet Retail,111.66,11.967846,7.9247694,1.3107
2025-07-22,"PepsiCo, Inc.",PEP,Consumer Defensive - Beverages - Non-Alcoholic,141.7,25.810566,16.419466,3.2337
2025-07-22,"PayPal Holdings, Inc.",PYPL,Financial Services - Credit Services,74.82,16.813484,15.300613,1.0024
2025-07-22,QUALCOMM Incorporated,QCOM,Technology - Semiconductors,158.97,16.221428,12.998365,2.2241
2025-07-22,"Regeneron Pharmaceuticals, Inc.",REGN,Healthcare - Biotechnology,545.53,13.870583,12.0399475,1.1474
2025-07-22,"Rivian Automotive, Inc.",RIVN,Consumer Cyclical - Auto Manufacturers,13.7,,-5.0,
2025-07-22,"Roku, Inc.",ROKU,Communication Services - Entertainment,91.69,,-145.53969,
2025-07-22,Starbucks Corporation,SBUX,Consumer Cyclical - Restaurants,92.66,33.694546,24.908604,2.4802
2025-07-22,Sirius XM Holdings Inc.,SIRI,Communication Services - Entertainment,23.23,,7.5667753,
2025-07-22,"Synopsys, Inc.",SNPS,Technology - Software - Infrastructure,591.46,68.376884,39.775387,12.0656
2025-07-22,Atlassian Corporation,TEAM,Technology - Software - Application,194.36,,47.289536,2.2871
2025-07-22,"T-Mobile US, Inc.",TMUS,Communication Services - Telecom Services,232.62,22.694633,21.801311,1.0567
2025-07-22,"Tesla, Inc.",TSLA,Consumer Cyclical - Auto Manufacturers,328.49,187.70857,101.385796,5.7652
2025-07-22,Texas Instruments Incorporated,TXN,Technology - Semiconductors,214.57,40.56144,36.491497,2.3006
2025-07-22,"Verisk Analytics, Inc.",VRSK,Industrials - Consulting Services,299.56,44.11782,41.091908,4.0553
2025-07-22,Vertex Pharmaceuticals Incorporated,VRTX,Healthcare - Biotechnology,458.49,,24.426744,
2025-07-22,"Walgreens Boots Alliance, Inc.",WBA,Healthcare - Pharmaceutical Retailers,11.52,,7.836735,
2025-07-22,"Workday, Inc.",WDAY,Technology - Software - Application,233.71,130.56425,28.157831,1.0231
2025-07-22,Xcel Energy Inc.,XEL,Utilities - Utilities - Regulated Electric,71.57,21.05,18.686684,2.8062
2025-07-22,Zoom Communications Inc.,ZM,Technology - Software - Application,74.48,22.366367,14.079396,1.1960624064171124
2025-07-22,"Zscaler, Inc.",ZS,Technology - Software - Infrastructure,288.43,,81.01966,3.8964
